Timestamp,TP9,AF7,AF8,TP10,RightAUX
1732201843.4488935,-286.1328125,-80.078125,332.51953125,-146.484375,0.0
1732201843.452799,-345.703125,-86.42578125,344.7265625,-138.671875,0.0
1732201843.4567046,-420.8984375,-116.2109375,249.0234375,-146.97265625,0.0
1732201843.4606102,-375.9765625,-107.421875,255.859375,-161.62109375,0.0
1732201843.4645157,-349.12109375,-74.21875,357.91015625,-159.1796875,0.0
1732201843.4684212,-389.6484375,-56.15234375,432.12890625,-145.01953125,0.0
1732201843.4723268,-369.140625,-52.24609375,498.046875,-141.6015625,0.0
1732201843.4762323,-321.77734375,-33.203125,582.51953125,-168.45703125,0.0
1732201843.4801378,-314.453125,-18.5546875,616.69921875,-213.8671875,0.0
1732201843.4840508,-283.69140625,-28.3203125,640.13671875,-129.8828125,0.0
1732201843.4879563,-266.6015625,-17.578125,747.0703125,-48.828125,0.0
1732201843.4918616,-286.62109375,9.27734375,816.40625,-82.03125,0.0
1732201843.495767,-255.859375,7.32421875,781.25,-120.1171875,0.0
1732201843.4996727,-225.09765625,-19.04296875,652.34375,-154.78515625,0.0
1732201843.5035782,-208.0078125,-39.0625,550.78125,-147.4609375,0.0
1732201843.5074837,-190.91796875,-10.25390625,558.10546875,-122.55859375,0.0
1732201843.5113893,-218.26171875,26.3671875,610.3515625,-136.23046875,0.0
1732201843.5152948,-239.2578125,-14.6484375,358.88671875,-146.484375,0.0
1732201843.5192003,-253.41796875,-35.64453125,219.23828125,-147.94921875,0.0
1732201843.5231059,-261.23046875,2.9296875,271.97265625,-181.15234375,0.0
1732201843.5270114,-271.97265625,1.46484375,232.91015625,-145.99609375,0.0
1732201843.5309238,-281.73828125,-5.37109375,285.64453125,-114.74609375,0.0
1732201843.5348294,-255.37109375,-9.765625,187.98828125,-146.484375,0.0
1732201843.538735,-256.34765625,6.8359375,91.796875,-188.96484375,0.0
1732201843.5426404,-251.46484375,-7.32421875,-19.53125,-204.1015625,0.0
1732201843.546546,-196.77734375,-5.37109375,-160.15625,-228.02734375,0.0
1732201843.5504515,-223.6328125,6.8359375,-166.015625,-248.046875,0.0
1732201843.554357,-262.6953125,13.18359375,-188.4765625,-148.92578125,0.0
1732201843.5582626,-177.734375,13.671875,-427.24609375,-123.046875,0.0
1732201843.5621681,-125.9765625,-15.625,-693.359375,-110.3515625,0.0
1732201843.5660737,-103.02734375,35.15625,-662.59765625,-75.1953125,0.0
1732201843.5699792,-59.08203125,88.8671875,-522.94921875,-50.78125,0.0
1732201843.5738847,-77.63671875,52.24609375,-642.578125,-131.34765625,0.0
1732201843.5777967,-107.91015625,46.875,-765.13671875,-159.66796875,0.0
1732201843.5817022,-55.6640625,76.66015625,-726.5625,-32.71484375,0.0
1732201843.5856078,-11.71875,54.6875,-737.79296875,-12.20703125,0.0
1732201843.5895133,-25.390625,33.203125,-777.34375,-53.22265625,0.0
1732201843.5934188,-27.83203125,47.8515625,-826.66015625,-51.7578125,0.0
1732201843.5973244,-32.71484375,34.66796875,-830.078125,-14.16015625,0.0
1732201843.60123,-28.3203125,29.78515625,-819.82421875,-21.484375,0.0
1732201843.6051354,-9.765625,24.4140625,-894.53125,20.01953125,0.0
1732201843.609041,18.5546875,28.80859375,-890.625,77.63671875,0.0
1732201843.6129465,48.33984375,74.70703125,-728.02734375,75.68359375,0.0
1732201843.616852,23.92578125,27.34375,-815.91796875,47.8515625,0.0
1732201843.6207576,7.8125,9.27734375,-883.30078125,10.7421875,0.0
1732201843.6246696,13.671875,26.3671875,-837.40234375,9.27734375,0.0
1732201843.628575,39.55078125,29.78515625,-755.37109375,29.296875,0.0
1732201843.6324806,69.3359375,20.5078125,-742.1875,53.22265625,0.0
1732201843.6363862,-10.25390625,7.32421875,-796.875,50.78125,0.0
1732201843.6402915,-40.52734375,-6.8359375,-820.80078125,61.5234375,0.0
1732201843.644197,99.609375,-25.87890625,-850.5859375,84.47265625,0.0
1732201843.6481025,121.09375,-0.9765625,-787.109375,48.828125,0.0
1732201843.652008,120.60546875,-10.7421875,-794.921875,111.81640625,0.0
1732201843.6559136,90.33203125,-10.25390625,-760.25390625,104.4921875,0.0
1732201843.6598191,39.0625,-4.8828125,-718.26171875,72.75390625,0.0
1732201843.6637247,87.40234375,-27.83203125,-802.24609375,86.9140625,0.0
1732201843.6676302,63.4765625,-17.08984375,-771.97265625,64.453125,0.0
1732201843.6715417,47.8515625,13.671875,-608.3984375,145.99609375,0.0
1732201843.6754472,98.14453125,25.87890625,-596.6796875,106.93359375,0.0
1732201843.6793528,143.06640625,2.44140625,-751.953125,68.84765625,0.0
1732201843.6832583,85.44921875,-5.37109375,-766.6015625,87.890625,0.0
1732201843.6871638,7.8125,7.32421875,-567.3828125,18.5546875,0.0
1732201843.6910694,137.20703125,1.953125,-516.6015625,45.8984375,0.0
1732201843.694975,169.43359375,-31.73828125,-654.296875,75.68359375,0.0
1732201843.6988804,130.37109375,-29.296875,-705.078125,103.515625,0.0
1732201843.702786,76.66015625,-20.01953125,-531.25,-5.37109375,0.0
1732201843.7066915,33.203125,-42.48046875,-526.3671875,-144.53125,0.0
1732201843.710597,112.79296875,-36.62109375,-461.42578125,-41.9921875,0.0
1732201843.7145023,66.40625,-43.9453125,-346.19140625,5.37109375,0.0
1732201843.7184138,-23.4375,-66.40625,-323.2421875,-83.984375,0.0
1732201843.7223194,-8.7890625,-98.14453125,-413.0859375,-125.9765625,0.0
1732201843.726225,-5.859375,-93.26171875,-411.1328125,-154.296875,0.0
1732201843.7301304,66.89453125,-57.12890625,-211.42578125,-131.34765625,0.0
1732201843.734036,132.8125,-52.734375,-165.0390625,-8.7890625,0.0
1732201843.7379415,137.20703125,-105.95703125,-326.171875,-68.359375,0.0
1732201843.7418468,149.4140625,-110.83984375,-537.109375,-104.4921875,0.0
1732201843.7457523,-3.90625,-69.82421875,-421.875,-44.43359375,0.0
1732201843.7496579,-178.22265625,-100.5859375,-55.6640625,-289.55078125,0.0
1732201843.7535634,-4.8828125,-106.93359375,-51.7578125,-297.36328125,0.0
1732201843.757469,176.26953125,-74.21875,-84.47265625,-21.484375,0.0
1732201843.7613745,128.90625,-108.3984375,-31.25,-84.47265625,0.0
1732201843.7652853,17.578125,-103.515625,43.9453125,-306.640625,0.0
1732201843.7691908,-3.41796875,-86.9140625,121.09375,-276.3671875,0.0
1732201843.7730963,-44.921875,-112.79296875,149.4140625,-118.65234375,0.0
1732201843.7770019,-17.08984375,-116.2109375,176.7578125,28.80859375,0.0
1732201843.7809074,162.59765625,-114.74609375,158.69140625,140.625,0.0
1732201843.784813,250.48828125,-164.0625,-78.125,133.30078125,0.0
1732201843.7887185,183.10546875,-159.1796875,-64.94140625,146.97265625,0.0
1732201843.7926238,151.3671875,-96.6796875,311.5234375,91.30859375,0.0
1732201843.7965293,133.30078125,-114.2578125,259.27734375,65.91796875,0.0
1732201843.8004348,-29.296875,-174.31640625,73.2421875,-78.61328125,0.0
1732201843.8043404,32.2265625,-191.40625,20.99609375,-119.62890625,0.0
1732201843.808246,164.55078125,-161.1328125,182.6171875,-65.91796875,0.0
1732201843.8121593,206.54296875,-125.0,247.55859375,75.1953125,0.0
1732201843.8160646,301.7578125,-126.953125,166.9921875,220.21484375,0.0
1732201843.8199701,275.87890625,-153.80859375,79.1015625,151.85546875,0.0
1732201843.8238757,239.74609375,-149.90234375,75.1953125,99.12109375,0.0
1732201843.8277812,198.2421875,-161.62109375,116.69921875,67.3828125,0.0
1732201843.8316867,162.59765625,-191.40625,59.5703125,22.94921875,0.0
1732201843.8355923,173.33984375,-166.015625,55.6640625,-11.23046875,0.0
1732201843.8394978,179.19921875,-143.5546875,84.47265625,13.671875,0.0
1732201843.8434033,180.6640625,-184.08203125,-84.9609375,30.2734375,0.0
1732201843.8473089,140.13671875,-195.3125,-224.609375,42.96875,0.0
1732201843.8512144,183.59375,-145.5078125,-13.18359375,94.23828125,0.0
1732201843.85512,187.01171875,-134.765625,68.84765625,97.16796875,0.0
1732201843.8590329,139.16015625,-179.6875,-194.3359375,41.50390625,0.0
1732201843.8629384,138.18359375,-189.453125,-348.6328125,37.109375,0.0
1732201843.8668437,164.0625,-148.4375,-214.35546875,72.75390625,0.0
1732201843.8707492,217.7734375,-141.11328125,-78.61328125,60.546875,0.0
1732201843.8746548,186.03515625,-166.50390625,-242.1875,54.19921875,0.0
1732201843.8785603,203.125,-161.62109375,-465.33203125,30.76171875,0.0
1732201843.8824658,171.875,-143.5546875,-418.45703125,41.015625,0.0
1732201843.8863714,114.74609375,-115.72265625,-276.85546875,50.78125,0.0
1732201843.890277,189.94140625,-134.765625,-382.32421875,36.62109375,0.0
1732201843.8941824,221.6796875,-141.11328125,-483.88671875,54.19921875,0.0
1732201843.898088,158.69140625,-103.02734375,-324.70703125,12.6953125,0.0
1732201843.9019935,132.8125,-108.88671875,-408.69140625,-6.34765625,0.0
1732201843.905906,179.19921875,-104.00390625,-401.3671875,13.671875,0.0
1732201843.9098115,169.921875,-94.23828125,-274.4140625,41.9921875,0.0
1732201843.913717,122.55859375,-96.6796875,-241.2109375,35.64453125,0.0
1732201843.9176226,122.0703125,-111.81640625,-355.46875,15.13671875,0.0
1732201843.921528,134.27734375,-125.48828125,-498.53515625,3.90625,0.0
1732201843.9254336,140.625,-131.34765625,-521.484375,10.7421875,0.0
1732201843.9293392,162.109375,-107.91015625,-375.9765625,20.5078125,0.0
1732201843.9332447,151.3671875,-99.12109375,-350.5859375,17.578125,0.0
1732201843.9371502,150.390625,-129.39453125,-535.64453125,14.6484375,0.0
1732201843.9410558,161.62109375,-108.88671875,-512.20703125,4.8828125,0.0
